fighter1,fighter2,winner,method,round,McGregor,Khabib
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,18,16
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,9,9
Kamaru Usman,Khabib,Kamaru Usman,KO,1,4,21
McGregor,Khabib,Khabib,Submission,3,13,12
McGregor,Khabib,McGregor,Unanimous Decision,3,9,7
McGregor,Khabib,,Majority Draw,3,16,14
McGregor,Khabib,McGregor,KO,2,9,9
McGregor,Khabib,McGregor,Unanimous Decision,3,13,12
McGregor,Khabib,Khabib,Unanimous Decision,3,13,14
McGregor,Khabib,Khabib,Unanimous Decision,3,15,18
McGregor,Khabib,McGregor,Unanimous Decision,3,14,15
McGregor,Khabib,,Majority Draw,3,9,8
McGregor,Khabib,McGregor,Submission,1,3,3
McGregor,Khabib,McGregor,Unanimous Decision,3,7,6
McGregor,Khabib,McGregor,KO,3,16,16
McGregor,Khabib,McGregor,Unanimous Decision,3,7,7
McGregor,Khabib,McGregor,Submission,1,2,3
McGregor,Khabib,,Majority Draw,3,7,5
McGregor,Khabib,McGregor,Unanimous Decision,3,15,13
McGregor,Khabib,,Majority Draw,3,18,18
McGregor,Khabib,Khabib,KO,3,8,9
McGregor,Khabib,McGregor,KO,3,14,12
McGregor,Khabib,McGregor,Unanimous Decision,3,14,13
McGregor,Khabib,Khabib,Submission,3,9,7
McGregor,Khabib,Khabib,Submission,1,2,1
McGregor,Khabib,McGregor,Submission,3,8,5
McGregor,Khabib,Khabib,KO,3,15,14
McGregor,Khabib,McGregor,KO,3,14,13
McGregor,Khabib,Khabib,KO,3,14,15
McGregor,Khabib,Khabib,KO,3,13,16
McGregor,Khabib,,Majority Draw,3,12,10
McGregor,Khabib,McGregor,Unanimous Decision,3,13,11
McGregor,Khabib,Khabib,Submission,2,4,3
McGregor,Khabib,McGregor,KO,3,12,9
McGregor,Khabib,McGregor,Submission,3,12,10
McGregor,Khabib,Khabib,KO,3,16,15
McGregor,Khabib,McGregor,Unanimous Decision,3,15,16
McGregor,Khabib,,Majority Draw,3,13,14
McGregor,Khabib,Khabib,Submission,3,13,13
McGregor,Khabib,McGregor,Unanimous Decision,3,10,9
McGregor,Khabib,McGregor,Unanimous Decision,3,5,4
McGregor,Khabib,Khabib,Submission,2,1,0
McGregor,Khabib,McGregor,Unanimous Decision,3,11,11
McGregor,Khabib,McGregor,KO,3,13,11
McGregor,Khabib,McGregor,KO,2,11,10
McGregor,Khabib,McGregor,Unanimous Decision,3,12,9
McGregor,Khabib,Khabib,Unanimous Decision,3,12,14
McGregor,Khabib,Khabib,Submission,3,13,12
McGregor,Khabib,Khabib,Unanimous Decision,3,7,6
McGregor,Khabib,McGregor,Unanimous Decision,3,5,5
McGregor,Khabib,McGregor,KO,3,15,15
McGregor,Khabib,McGregor,Unanimous Decision,3,15,13
McGregor,Khabib,Khabib,Submission,3,13,14
McGregor,Khabib,Khabib,KO,3,12,16
McGregor,Khabib,McGregor,KO,2,8,7
Conor McGregor Prime,Khabib,Conor McGregor Prime,KO,3,13,13
Conor McGregor Prime,Khabib,Conor McGregor Prime,KO,3,12,13
Conor McGregor Prime,Khabib,Khabib,Unanimous Decision,3,14,15
Conor McGregor Prime,Khabib,Khabib,Unanimous Decision,3,4,5
Conor McGregor Prime,Khabib,Khabib,Submission,2,8,6
Conor McGregor Prime,Khabib,Conor McGregor Prime,Unanimous Decision,3,10,9
Conor McGregor Prime,Khabib,Conor McGregor Prime,Unanimous Decision,3,12,6
Conor McGregor Prime,Khabib,Khabib,Submission,1,1,0
Conor McGregor Prime,Khabib,Khabib,Unanimous Decision,3,8,8
Conor McGregor Prime,Khabib,Conor McGregor Prime,Submission,2,2,4
Conor McGregor Prime,Khabib,Conor McGregor Prime,Unanimous Decision,3,7,9
Conor McGregor Prime,Khabib,Khabib,Unanimous Decision,3,4,5
Conor McGregor Prime,Khabib,Conor McGregor Prime,Unanimous Decision,3,12,7
Conor McGregor Prime,Khabib,Conor McGregor Prime,Unanimous Decision,3,14,11
